CO_FIPS,SUBAREAID,F_KEY,F_AREA
1,0,0_1,UDOT
3,0,0_3,UDOT
3,1,1_3,WFRC
5,0,0_5,UDOT
5,2,2_5,Cache
7,0,0_7,UDOT
9,0,0_9,UDOT
11,1,1_11,WFRC
13,0,0_13,UDOT
15,0,0_15,UDOT
17,0,0_17,UDOT
19,0,0_19,UDOT
21,5,5_21,Iron
23,0,0_23,UDOT
25,0,0_25,UDOT
27,0,0_27,UDOT
29,0,0_29,UDOT
31,0,0_31,UDOT
33,0,0_33,UDOT
35,1,1_35,WFRC
37,0,0_37,UDOT
39,0,0_39,UDOT
41,0,0_41,UDOT
43,4,4_43,Summit
45,0,0_45,UDOT
47,0,0_47,UDOT
49,1,1_49,MAG
51,4,4_51,MAG
53,3,3_53,Dixie
55,0,0_55,UDOT
57,0,0_57,UDOT
57,1,1_57,WFRC
